title,genre,release_year,rating,votes,duration_min,box_office_million,oscar_winner
Movie_61,Comedy,2014,5.8,66924,72,138.5,False
Movie_62,Comedy,2012,7.5,122705,86,155.7,False
Movie_63,Horror,2020,6.2,89837,71,142.4,False
Movie_64,Comedy,2023,5.7,101631,130,112.5,False
Movie_65,Comedy,2019,7.6,121672,98,130.3,False
Movie_66,Drama,2023,7.5,65105,141,190.4,True
Movie_67,Action,2013,7.2,101039,95,179.2,False
Movie_68,Horror,2018,6.6,102971,86,221.3,False
Movie_69,Action,2022,5.2,49312,132,82.5,False
Movie_70,Romance,2019,5.6,95620,107,124.9,False
Movie_71,Horror,2018,6.7,70019,102,144.1,False
Movie_72,Action,2011,6.9,87531,101,185.2,False
Movie_73,Action,2017,6.2,119826,140,132.8,False
Movie_74,Horror,2017,5.9,70824,106,97.0,False
Movie_75,Drama,2016,8.6,140479,121,236.3,False
Movie_76,Drama,2017,6.4,60928,104,130.7,False
Movie_77,Horror,2023,6.5,139126,99,184.2,False
Movie_78,Action,2012,6.0,83908,115,159.6,False
Movie_79,Comedy,2022,6.2,94906,75,142.1,False
Movie_80,Action,2015,7.5,116080,119,168.0,False
Movie_81,Horror,2010,6.8,114151,92,147.1,False
Movie_82,Drama,2016,8.1,91116,130,179.8,True
Movie_83,Comedy,2010,8.1,121393,70,212.2,False
Movie_84,Action,2018,6.2,79824,123,116.1,False
Movie_85,Comedy,2010,7.3,75708,82,164.4,False
Movie_86,Comedy,2010,6.1,111242,104,110.7,False
Movie_87,Drama,2016,7.5,105456,120,141.3,False
Movie_88,Drama,2011,6.9,108350,113,158.7,False
Movie_89,Horror,2023,5.9,92096,107,77.6,False
Movie_90,Drama,2014,7.8,110302,96,239.9,True
Movie_91,Action,2017,5.2,117500,136,91.7,False
Movie_92,Drama,2017,9.6,143054,104,219.4,True
Movie_93,Horror,2012,4.6,37840,71,134.6,False
Movie_94,Drama,2016,5.6,75992,110,101.3,False
Movie_95,Horror,2012,7.2,117994,70,98.5,False
Movie_96,Drama,2015,8.0,130651,118,172.8,False
Movie_97,Drama,2015,7.8,95244,111,148.8,False
Movie_98,Comedy,2012,7.3,128089,118,103.3,True
Movie_99,Action,2016,6.2,57742,129,144.1,False
Movie_100,Action,2012,5.1,99382,99,128.1,False
Movie_101,Action,2017,6.3,68113,107,173.9,False
Movie_102,Drama,2019,6.3,89975,122,110.4,False
Movie_103,Comedy,2013,7.7,136791,112,133.4,False
Movie_104,Drama,2022,6.9,105892,133,147.0,False
Movie_105,Romance,2010,5.3,95833,123,122.5,False
Movie_106,Action,2013,5.8,99373,118,163.5,False
Movie_107,Comedy,2023,7.0,130725,105,208.5,False
Movie_108,Horror,2016,5.1,97744,114,158.0,False
Movie_109,Action,2020,5.2,68925,115,126.1,False
Movie_110,Action,2013,6.5,110158,125,176.0,False
Movie_111,Comedy,2022,6.8,71468,95,131.1,True
Movie_112,Action,2015,5.6,82841,111,133.6,False
Movie_113,Romance,2018,5.7,101869,105,98.6,False
Movie_114,Horror,2010,6.1,94176,84,142.7,False
Movie_115,Drama,2022,5.4,89932,113,128.6,False
Movie_116,Horror,2014,4.1,57234,79,145.1,False
Movie_117,Horror,2020,4.9,96081,92,110.3,False
Movie_118,Action,2016,5.9,86891,126,138.1,False
Movie_119,Horror,2010,6.2,83690,86,147.8,False
Movie_120,Drama,2023,8.9,151230,115,194.6,False
Movie_121,Horror,2013,6.8,73896,97,126.7,False
Movie_122,Horror,2015,5.6,94020,101,169.8,False
Movie_123,Comedy,2011,6.5,76650,97,115.9,False
Movie_124,Action,2019,5.0,100558,136,80.3,False
Movie_125,Action,2014,6.2,87779,88,162.0,False
Movie_126,Comedy,2020,6.2,95699,144,177.9,False
Movie_127,Horror,2019,6.2,101251,81,130.7,False
Movie_128,Horror,2010,4.8,33406,101,89.6,False
Movie_129,Action,2015,6.8,88988,105,162.3,False
Movie_130,Drama,2015,8.9,154370,124,187.6,False
Movie_131,Comedy,2022,6.4,113355,104,127.2,False
Movie_132,Action,2013,6.7,106160,110,181.6,False
Movie_133,Action,2022,7.0,78010,136,173.8,False
Movie_134,Comedy,2017,6.0,101710,97,179.7,False
Movie_135,Romance,2013,6.6,113267,113,117.1,False
Movie_136,Comedy,2017,6.5,98440,86,134.6,False
Movie_137,Drama,2022,7.2,132463,114,178.9,False
Movie_138,Drama,2017,6.2,79331,145,112.1,False
Movie_139,Comedy,2014,6.5,87302,114,166.7,False
Movie_140,Romance,2022,6.9,53807,109,185.5,False
Movie_141,Romance,2013,8.0,138396,98,170.2,False
Movie_142,Comedy,2021,7.7,121777,101,179.5,False
Movie_143,Drama,2022,9.7,111863,117,260.0,False
Movie_144,Comedy,2011,5.6,48828,106,175.7,False
Movie_145,Comedy,2020,7.5,95047,83,191.4,False
Movie_146,Action,2012,6.4,111873,130,168.2,False
Movie_147,Drama,2012,9.7,139492,98,196.3,True
Movie_148,Drama,2013,6.1,75404,139,147.9,False
Movie_149,Action,2013,5.2,57877,108,132.3,False
Movie_150,Comedy,2019,5.8,65981,104,122.9,False
Movie_151,Romance,2020,3.8,18326,120,61.8,False
Movie_152,Action,2020,5.6,59852,116,85.5,False
Movie_153,Action,2014,5.3,58088,125,65.5,False
Movie_154,Drama,2013,7.3,123152,136,112.2,False
Movie_155,Romance,2020,6.7,97185,113,170.8,False
Movie_156,Action,2023,8.5,110988,125,196.6,False
Movie_157,Drama,2019,8.2,169194,89,183.3,False
Movie_158,Horror,2017,5.1,63222,80,104.7,False
Movie_159,Action,2015,5.1,99842,135,128.3,False
Movie_160,Drama,2015,7.7,147922,123,178.6,False
Movie_161,Comedy,2017,4.9,42100,110,66.2,False
Movie_162,Drama,2016,9.3,140979,124,241.6,True
Movie_163,Drama,2019,8.5,117149,134,202.6,False
Movie_164,Drama,2023,6.5,85521,111,155.1,False
Movie_165,Action,2020,4.1,72607,121,121.6,False
Movie_166,Horror,2021,7.4,98542,79,143.3,False
Movie_167,Comedy,2019,6.4,86080,80,181.6,False
Movie_168,Action,2022,7.7,112137,95,172.2,False
Movie_169,Action,2017,4.3,57032,106,124.1,False
Movie_170,Drama,2023,6.4,72528,138,164.5,False
Movie_171,Drama,2011,7.1,122418,91,135.3,False
Movie_172,Action,2018,6.3,115470,115,164.2,False
Movie_173,Drama,2010,6.6,105872,95,163.0,False
Movie_174,Action,2017,6.9,95968,110,158.1,False
Movie_175,Drama,2021,5.8,72895,117,127.7,False
Movie_176,Action,2020,6.0,75927,109,132.6,False
Movie_177,Drama,2021,7.2,155147,131,199.4,False
Movie_178,Comedy,2021,7.1,125256,123,184.4,False
Movie_179,Romance,2013,7.2,91197,71,163.2,False
Movie_180,Action,2013,4.9,76793,109,68.6,False
Movie_181,Comedy,2014,4.7,63249,100,121.5,False
Movie_182,Action,2017,7.7,127176,136,201.1,False
Movie_183,Romance,2014,6.7,111369,98,225.3,True
Movie_184,Horror,2017,4.9,95172,94,149.3,False
Movie_185,Comedy,2019,8.4,108988,82,132.8,False
Movie_186,Drama,2010,7.2,110094,92,168.4,False
Movie_187,Horror,2021,7.2,73029,116,212.9,False
Movie_188,Drama,2019,7.2,82853,87,179.3,False
Movie_189,Drama,2018,9.6,161682,149,234.2,False
Movie_190,Action,2015,8.3,105486,130,214.1,False
Movie_191,Action,2012,5.9,71681,130,113.7,False
Movie_192,Horror,2022,7.0,104834,103,175.3,True
Movie_193,Romance,2023,7.1,120395,101,158.6,False
Movie_194,Drama,2017,8.7,109283,120,195.3,False
Movie_195,Comedy,2018,5.3,9883,97,132.8,False
Movie_196,Comedy,2015,7.3,92095,108,136.6,False
Movie_197,Drama,2020,8.4,150112,114,236.7,False
Movie_198,Horror,2016,3.7,62362,80,73.8,False
Movie_199,Horror,2010,4.4,92477,81,114.3,False
Movie_200,Horror,2023,3.4,28363,80,31.7,False
Movie_201,Drama,2014,6.8,69212,129,171.4,False
Movie_202,Action,2014,7.1,115750,110,208.5,True
Movie_203,Action,2019,8.0,124800,91,169.5,False
Movie_204,Horror,2023,5.9,94611,100,103.6,True
Movie_205,Drama,2013,9.1,155159,137,221.4,False
Movie_206,Action,2015,4.5,75933,131,148.8,False
Movie_207,Action,2016,4.2,71112,110,54.7,False
Movie_208,Drama,2018,7.0,119300,91,130.7,False
Movie_209,Action,2010,6.7,110548,117,142.5,False
Movie_210,Action,2015,6.2,110148,117,121.4,False
Movie_211,Drama,2016,4.6,89170,100,85.3,True
Movie_212,Drama,2012,7.0,135633,123,104.3,False
Movie_213,Drama,2017,5.5,69516,142,141.6,False
Movie_214,Action,2014,7.0,114611,123,173.1,False
Movie_215,Drama,2018,7.5,105093,117,120.1,False
Movie_216,Action,2014,5.1,59828,105,157.7,False
Movie_217,Comedy,2018,5.9,74709,120,183.4,False
Movie_218,Drama,2019,5.8,96899,113,112.9,True
Movie_219,Drama,2013,7.0,113365,106,197.7,False
Movie_220,Horror,2018,6.9,111508,95,143.1,False
Movie_221,Drama,2014,5.9,83985,122,140.2,True
Movie_222,Drama,2019,7.7,115568,117,152.0,False
Movie_223,Action,2018,5.6,100355,138,198.5,False
Movie_224,Comedy,2012,5.5,52712,105,111.7,False
Movie_225,Comedy,2013,6.4,96492,95,151.1,False
Movie_226,Action,2018,5.0,76799,126,94.7,False
Movie_227,Romance,2019,5.6,99066,112,187.7,False
Movie_228,Comedy,2020,5.1,49495,80,168.5,False
Movie_229,Horror,2015,8.2,152902,112,243.5,True
Movie_230,Drama,2011,7.1,110772,110,192.8,True
Movie_231,Horror,2016,5.0,80331,90,97.3,False
Movie_232,Drama,2011,7.4,102972,126,193.4,False
Movie_233,Drama,2020,7.0,115760,126,162.9,False
Movie_234,Drama,2011,6.8,102959,104,196.0,False
Movie_235,Action,2020,6.9,127679,132,197.0,False
Movie_236,Drama,2010,8.0,91170,106,158.8,False
Movie_237,Comedy,2020,5.9,92010,127,164.8,False
Movie_238,Action,2020,5.5,90670,107,148.6,False
Movie_239,Drama,2021,6.8,98272,118,72.4,False
Movie_240,Action,2020,3.4,42906,108,100.6,False
Movie_241,Romance,2012,4.5,60240,138,89.1,False
Movie_242,Romance,2015,7.9,121992,86,155.8,False
Movie_243,Romance,2017,8.3,88300,112,158.4,False
Movie_244,Comedy,2018,6.2,112300,88,142.4,False
Movie_245,Action,2016,6.9,93897,114,171.2,False
Movie_246,Romance,2013,6.7,103056,111,113.6,False
Movie_247,Comedy,2015,10.0,157342,118,237.2,False
Movie_248,Romance,2014,7.6,103483,129,190.0,False
Movie_249,Romance,2017,6.1,88879,81,195.6,False
Movie_250,Horror,2010,4.7,29795,99,67.7,False
Movie_251,Comedy,2010,4.6,83642,121,98.2,False
Movie_252,Comedy,2022,6.7,122101,74,166.3,False
Movie_253,Horror,2020,4.9,39480,99,140.3,False
Movie_254,Comedy,2015,4.8,63870,99,99.6,False
Movie_255,Action,2019,5.4,56402,126,155.2,False
Movie_256,Drama,2021,5.8,83445,103,74.6,False
Movie_257,Romance,2011,8.3,137472,83,155.9,False
Movie_258,Drama,2014,8.2,142746,86,203.0,False
Movie_259,Drama,2010,7.1,128937,129,125.5,True
Movie_260,Action,2016,8.0,146210,136,154.0,False
Movie_261,Drama,2010,7.2,103551,119,148.9,False
Movie_262,Romance,2013,5.3,56560,96,140.5,False
Movie_263,Action,2018,8.0,117708,95,126.7,True
Movie_264,Drama,2010,7.7,128165,123,184.7,True
Movie_265,Horror,2013,4.6,44454,78,131.9,False
Movie_266,Drama,2015,6.9,136702,104,159.5,False
Movie_267,Drama,2015,6.0,107957,106,130.5,False
Movie_268,Drama,2021,5.4,76868,112,135.4,False
Movie_269,Comedy,2022,7.6,99782,88,166.2,False
Movie_270,Comedy,2017,8.8,118617,100,241.4,False
Movie_271,Horror,2010,4.1,62984,85,61.3,False
Movie_272,Horror,2016,6.5,92911,105,147.0,False
Movie_273,Horror,2010,5.0,94010,110,125.0,False
Movie_274,Romance,2022,5.7,78640,106,118.4,True
Movie_275,Drama,2023,6.4,106110,121,63.1,True
Movie_276,Drama,2016,6.1,90921,146,135.4,False
Movie_277,Horror,2012,5.9,93893,77,163.8,True
Movie_278,Drama,2020,6.1,86898,96,162.7,True
Movie_279,Drama,2017,7.4,125154,125,183.7,False
Movie_280,Horror,2012,5.7,99950,124,101.1,False
Movie_281,Horror,2023,5.5,91698,91,140.2,False
Movie_282,Comedy,2023,5.4,93150,125,109.4,False
Movie_283,Comedy,2022,5.8,68112,101,140.2,False
Movie_284,Action,2010,7.1,112964,109,168.2,False
Movie_285,Drama,2022,7.7,140484,100,152.8,False
Movie_286,Action,2022,5.0,84828,129,90.2,False
Movie_287,Drama,2023,7.2,87385,101,172.1,False
Movie_288,Drama,2017,8.0,119004,116,177.2,True
Movie_289,Comedy,2012,4.5,74999,123,79.8,False
Movie_290,Drama,2011,7.8,101852,110,148.7,False
Movie_291,Action,2010,5.4,53834,139,109.7,False
Movie_292,Action,2023,6.9,97178,101,204.5,False
Movie_293,Horror,2012,4.9,58683,86,94.0,False
Movie_294,Comedy,2011,4.3,64214,78,98.4,False
Movie_295,Action,2011,4.2,31171,121,93.3,False
Movie_296,Drama,2015,7.2,119294,126,133.9,False
Movie_297,Horror,2021,6.1,78807,96,84.9,False
Movie_298,Action,2010,5.1,96415,138,90.5,False
Movie_299,Drama,2011,7.9,112962,103,188.0,False
Movie_300,Action,2023,4.2,62492,123,99.1,False
